layout_id,layout_name,trans_types,pos,len,field,desc
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",52,6,Trans_Time,交易時間
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",58,21,Filler,保留
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",79,4,ECR_Response_Code,通訊回應碼
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",91,14,Reference_No,銀行交易序號
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",103,234,Filler,保留
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",337,1,Ticket_Type,電子票證名稱類別
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",338,19,Ticket_Card_Number,電子票證卡號
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",357,10,Ticket_Reference_Number,電子票證交易序號
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",367,10,Ticket_Batch_Number,批次號碼
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",377,10,Ticket_Pre_Balance,交易前餘額
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",387,10,Ticket_Auto_Load_Amount,自動加值金額
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",397,10,Ticket_Balance,消費後餘額
3.1.10,"悠遊卡交易 (交易別 31, 32)","31,32",407,194,Filler,保留
3.1.11,金融卡退貨 (交易別 27),27,1,2,Trans_Type,交易別
3.1.11,金融卡退貨 (交易別 27),27,3,2,Host_ID,銀行別
3.1.11,金融卡退貨 (交易別 27),27,5,6,Invoice_No,EDC 簽單調閱編號
3.1.11,金融卡退貨 (交易別 27),27,11,19,Card_No,信用卡卡號 (左靠右補空白)
3.1.11,金融卡退貨 (交易別 27),27,30,4,Card_Expire_Date,信用卡有效期 (全部空白)
3.1.11,金融卡退貨 (交易別 27),27,34,12,Trans_Amount,交易金額 (小於等於原交易)
3.1.11,金融卡退貨 (交易別 27),27,46,6,Trans_Date,原交易日期
3.1.11,金融卡退貨 (交易別 27),27,52,6,Trans_Time,原交易時間
3.1.11,金融卡退貨 (交易別 27),27,58,9,Approval_No,授權碼 (左靠右補空白)
3.1.11,金融卡退貨 (交易別 27),27,67,12,Auth_Amount,預先授權金額
3.1.11,金融卡退貨 (交易別 27),27,79,4,ECR_Response_Code,通訊回應碼
3.1.11,金融卡退貨 (交易別 27),27,83,8,EDC_Terminal_ID,原 EDC 端末機代號
3.1.11,金融卡退貨 (交易別 27),27,91,12,Reference_No,原交易序號
3.1.11,金融卡退貨 (交易別 27),27,103,12,Exp_Amount,其他金額
3.1.11,金融卡退貨 (交易別 27),27,115,18,Store_Id,專櫃號
3.1.11,金融卡退貨 (交易別 27),27,133,2,Start Get PAN,"交易別 (SALE 01, REFUND 02)"
3.1.11,金融卡退貨 (交易別 27),27,135,3,Issuer Id,發卡代號
3.1.11,金融卡退貨 (交易別 27),27,138,1,CardType,卡片代碼
3.1.11,金融卡退貨 (交易別 27),27,139,6,Batch_Number,原交易批次
3.1.11,金融卡退貨 (交易別 27),27,145,50,Encrypted Card Number,加密卡號
3.1.11,金融卡退貨 (交易別 27),27,195,16,Cancel Debt Number,銷帳編號
3.1.11,金融卡退貨 (交易別 27),27,211,84,Filler,保留
3.1.11,金融卡退貨 (交易別 27),27,295,4,Host_Response_Code,金融卡主機回應碼
3.1.11,金融卡退貨 (交易別 27),27,299,15,EDC_Merchant_ID,商代
3.1.11,金融卡退貨 (交易別 27),27,314,5,Filler,保留
3.1.11,金融卡退貨 (交易別 27),27,319,30,Additional Information,附加資料 (左靠右補空白)
3.1.11,金融卡退貨 (交易別 27),27,349,1,ESC_Status,電簽簽名狀態
3.1.11,金融卡退貨 (交易別 27),27,350,4,ESC_Response_Code,電簽主機回應碼
3.1.11,金融卡退貨 (交易別 27),27,354,247,Filler,保留
3.1.12,交易回傳 (交易別 91),91,1,2,Trans_Type,交易別
3.1.12,交易回傳 (交易別 91),91,3,2,Host_ID,銀行別
3.1.12,交易回傳 (交易別 91),91,5,6,Invoice_No,EDC 簽單調閱編號
3.1.12,交易回傳 (交易別 91),91,11,19,Card_No,信用卡卡號 (左靠右補空白)
3.1.12,交易回傳 (交易別 91),91,30,4,Card_Expire_Date,信用卡有效期 (全部空白)
3.1.12,交易回傳 (交易別 91),91,34,12,Trans_Amount,交易金額
3.1.12,交易回傳 (交易別 91),91,46,6,Trans_Date,交易日期
3.1.12,交易回傳 (交易別 91),91,52,6,Trans_Time,交易時間
3.1.12,交易回傳 (交易別 91),91,58,9,Approval_No,授權碼 (左靠右補空白)
3.1.12,交易回傳 (交易別 91),91,67,12,Auth_Amount,預先授權金額
3.1.12,交易回傳 (交易別 91),91,79,4,ECR_Response_Code,通訊回應碼
3.1.12,交易回傳 (交易別 91),91,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.12,交易回傳 (交易別 91),91,91,12,Reference_No,銀行交易序號
3.1.12,交易回傳 (交易別 91),91,103,12,Exp_Amount,其他金額
3.1.12,交易回傳 (交易別 91),91,115,18,Store_ID,專櫃號
3.1.12,交易回傳 (交易別 91),91,133,2,Start Get PAN,"交易別 (SALE 01, REFUND 02)"
3.1.12,交易回傳 (交易別 91),91,135,3,Issuer_ID,發卡代號
3.1.12,交易回傳 (交易別 91),91,138,1,Card_Type,卡片代碼
3.1.12,交易回傳 (交易別 91),91,139,4,Org_Trans_Date,原交易日期 (MMDD)
3.1.12,交易回傳 (交易別 91),91,143,2,Filler,保留
3.1.12,交易回傳 (交易別 91),91,145,50,Encrypted Card Number,加密卡號
3.1.12,交易回傳 (交易別 91),91,195,16,Cancel Debt Number,銷帳編號
3.1.12,交易回傳 (交易別 91),91,211,6,STAN,端末交易序號 (支付寶)
3.1.12,交易回傳 (交易別 91),91,217,16,Order_Num,訂單編號 (支付寶)
3.1.12,交易回傳 (交易別 91),91,233,16,Old Order_Num,原訂單編號 (支付寶)
3.1.12,交易回傳 (交易別 91),91,249,14,Old Trans_Time,原交易時間 (支付寶)
3.1.12,交易回傳 (交易別 91),91,263,32,ALIPAY_ID,支付寶條碼
3.1.12,交易回傳 (交易別 91),91,295,4,Host_Response_Code,信用卡主機回應碼
3.1.12,交易回傳 (交易別 91),91,299,15,EDC_Merchant_ID,EDC 商店代號
3.1.12,交易回傳 (交易別 91),91,314,287,Filler,保留
3.1.13,使用者登入回傳 (交易別 92),92,1,2,Trans_Type,交易別
3.1.13,使用者登入回傳 (交易別 92),92,3,2,Host_ID,銀行別
3.1.13,使用者登入回傳 (交易別 92),92,5,6,Invoice_No,EDC 簽單調閱編號
3.1.13,使用者登入回傳 (交易別 92),92,11,19,Card_No,信用卡卡號 (左靠右補空白)
3.1.13,使用者登入回傳 (交易別 92),92,30,4,Card_Expire_Date,信用卡有效期 (全部空白)
3.1.13,使用者登入回傳 (交易別 92),92,34,12,Trans_Amount,交易金額
3.1.13,使用者登入回傳 (交易別 92),92,46,6,Trans_Date,交易日期
3.1.13,使用者登入回傳 (交易別 92),92,52,6,Trans_Time,交易時間
3.1.13,使用者登入回傳 (交易別 92),92,58,9,Approval_No,授權碼 (左靠右補空白)
3.1.13,使用者登入回傳 (交易別 92),92,67,12,Auth_Amount,預先授權金額
3.1.13,使用者登入回傳 (交易別 92),92,79,4,ECR_Response_Code,通訊回應碼
3.1.13,使用者登入回傳 (交易別 92),92,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.13,使用者登入回傳 (交易別 92),92,91,12,Reference_No,銀行交易序號
3.1.13,使用者登入回傳 (交易別 92),92,103,12,Exp_Amount,其他金額
3.1.13,使用者登入回傳 (交易別 92),92,115,18,Store_Id,專櫃號
3.1.13,使用者登入回傳 (交易別 92),92,133,2,Start Get PAN,"交易別 (SALE 01, REFUND 02)"
3.1.13,使用者登入回傳 (交易別 92),92,135,3,Issuer Id,發卡代號
3.1.13,使用者登入回傳 (交易別 92),92,138,1,CardType,卡片代碼
3.1.13,使用者登入回傳 (交易別 92),92,139,6,Filler,保留
3.1.13,使用者登入回傳 (交易別 92),92,145,50,Encrypted Card Number,加密卡號
3.1.13,使用者登入回傳 (交易別 92),92,195,16,Cancel Debt Number,銷帳編號
3.1.13,使用者登入回傳 (交易別 92),92,211,6,STAN,端末交易序號 (支付寶)
3.1.13,使用者登入回傳 (交易別 92),92,217,16,Order_Num,訂單編號 (支付寶)
3.1.13,使用者登入回傳 (交易別 92),92,233,16,Old Order_Num,原訂單編號 (支付寶)
3.1.13,使用者登入回傳 (交易別 92),92,249,14,Old Trans_Time,原交易時間 (支付寶)
3.1.13,使用者登入回傳 (交易別 92),92,263,32,ALIPAY_ID,支付寶條碼
3.1.13,使用者登入回傳 (交易別 92),92,295,4,Host_Response_Code,信用卡主機回應碼
3.1.13,使用者登入回傳 (交易別 92),92,299,15,EDC_Merchant_ID,EDC 商店代號
3.1.13,使用者登入回傳 (交易別 92),92,314,287,Filler,保留
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",1,2,Trans_Type,交易別
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",3,31,Filler,保留
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",34,12,Trans_Amount,交易金額
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",46,6,Trans_Date,交易日期
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",52,6,Trans_Time,交易時間
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",58,20,Order_Num,訂單編號
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",78,1,Order_Status,訂單狀態
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",79,4,ECR_Response_Code,通訊回應碼
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",83,4,INTELLA_Response_Code,英特拉回應碼
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",87,512,Scan_Data,英特拉被掃掃碼資料 (左靠右補空白)
3.1.14,"英特拉交易 (交易別 36, 37, 38, 39)","36,37,38,39",599,2,Filler,保留
