layout_id,layout_name,trans_types,pos,len,field,desc
3.1.3,繳費交易 (含全國性繳費),"05,06,26",11,19,Card_No,金融卡帳號 (左靠右補空白)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",30,4,IssureReturnCode,主機回應碼
3.1.3,繳費交易 (含全國性繳費),"05,06,26",34,12,Trans_Amount,交易金額
3.1.3,繳費交易 (含全國性繳費),"05,06,26",46,6,Trans_Date,交易日期
3.1.3,繳費交易 (含全國性繳費),"05,06,26",52,6,Trans_Time,交易時間
3.1.3,繳費交易 (含全國性繳費),"05,06,26",58,7,IssureSeqNo,主機查詢序號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",65,4,FeeAmt,繳費作業手續費
3.1.3,繳費交易 (含全國性繳費),"05,06,26",69,6,ProcessCode,處理代碼 (逾時查詢用)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",75,4,FiscCode,交易類別代碼 (逾時查詢用)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",79,4,ECR_Response_Code,通訊回應碼
3.1.3,繳費交易 (含全國性繳費),"05,06,26",83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",91,3,ProcessStatus,主機處理狀況 (逾時查詢用)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",94,21,Filler,保留
3.1.3,繳費交易 (含全國性繳費),"05,06,26",115,18,Store_Id,專櫃號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",133,2,Start Get PAN,"交易別 (全國繳費 05, 一般繳費 06)"
3.1.3,繳費交易 (含全國性繳費),"05,06,26",135,3,Issuer Id,發卡代號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",138,1,CardType,卡片代碼
3.1.3,繳費交易 (含全國性繳費),"05,06,26",139,6,Filler,保留
3.1.3,繳費交易 (含全國性繳費),"05,06,26",145,50,Encrypted Card Number,加密卡號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",195,16,Cancel Debt Number,銷帳編號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",211,4,Host_Resp_Code,主機回應碼 (欄位 39)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",215,4,NP_Resp_Errcode,全國性繳費主機回應碼 (欄位 57)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",219,15,EDC_Merchant_ID,EDC 商店代號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",234,16,NP_Order_Number,全繳訂單編號
3.1.3,繳費交易 (含全國性繳費),"05,06,26",250,69,Filler,保留
3.1.3,繳費交易 (含全國性繳費),"05,06,26",319,30,Additional Information,附加資料 (左靠右補空白)
3.1.3,繳費交易 (含全國性繳費),"05,06,26",349,1,ESC_Status,電簽簽名狀態
3.1.3,繳費交易 (含全國性繳費),"05,06,26",350,4,ESC_Response_Code,電簽主機回應碼
3.1.3,繳費交易 (含全國性繳費),"05,06,26",354,247,Filler,保留
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,1,2,Trans_Type,交易別
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,3,2,Host_ID,銀行別
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,5,6,Invoice_No,EDC 簽單調閱編號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,11,19,Card_No,信用卡卡號 (左靠右補空白，不遮掩)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,30,4,Card_Expire_Date,信用卡有效期 (不遮掩)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,34,12,Trans_Amount,交易金額
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,46,6,Trans_Date,交易日期
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,52,6,Trans_Time,交易時間
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,58,9,Approval_No,授權碼 (左靠右補空白)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,67,12,Auth_Amount,預先授權金額
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,79,4,ECR_Response_Code,通訊回應碼
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,91,12,Reference_No,銀行交易序號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,103,12,Exp_Amount,其他金額
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,115,18,Store_Id,專櫃號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,133,2,Start Get PAN,"交易別 (SALE 01, REFUND 02)"
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,135,3,Issuer Id,發卡代號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,138,1,CardType,卡片代碼
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,139,6,Filler,保留
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,145,50,Encrypted Card Number,加密卡號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,195,16,Cancel Debt Number,銷帳編號
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,211,6,STAN,端末交易序號 (支付寶)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,217,16,Order_Num,訂單編號 (支付寶)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,233,16,Old Order_Num,原訂單編號 (支付寶)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,249,14,Old Trans_Time,原交易時間 (支付寶)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,263,32,ALIPAY_ID,支付寶條碼 (支付寶)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,295,1,WaveFlag,"感應交易碼 (1 感應, 0 一般)"
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,296,23,Filler,保留
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,319,30,Additional Information,附加資料 (左靠右補空白)
3.1.4,無人信用卡自助交易 (純讀卡，交易別 20),20,349,252,Filler,保留
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,1,2,Trans_Type,交易別
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,3,8,IssuerId,轉出銀行代號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,11,8,STAN,晶片卡交易序號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,19,15,RFU,保留
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,34,12,Trans_Amount,交易金額
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,46,14,Trans_DateTime,交易日期時間
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,60,16,CardAccount,轉出帳號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,76,3,RFU,保留
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,79,4,ECR_Response_Code,通訊回應碼
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,91,30,IcCardComment,晶片卡備註
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,121,8,TAC,晶片交易驗證碼
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,129,8,TccCode,端末設備查核碼
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,137,1,WaveFlag,"感應交易碼 (1 感應, 0 一般)"
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,138,7,RFU,保留
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,145,50,Encrypted Card Number,加密卡號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,195,16,Cancel Debt Number,銷帳編號
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,211,108,Filler,保留
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,319,30,Additional Information,附加資料 (左靠右補空白)
3.1.5,無人全國性繳費自助交易 (純讀卡，交易別 21),21,349,252,Filler,保留
3.1.6,結帳交易 (交易別 50),50,1,2,Trans_Type,交易別
3.1.6,結帳交易 (交易別 50),50,3,2,Host_ID,銀行別
3.1.6,結帳交易 (交易別 50),50,5,74,Filler,保留
3.1.6,結帳交易 (交易別 50),50,79,4,ECR_Response_Code,通訊回應碼
3.1.6,結帳交易 (交易別 50),50,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.6,結帳交易 (交易別 50),50,91,54,Filler,保留
3.1.6,結帳交易 (交易別 50),50,145,12,Sale_Amount,銷售總金額
3.1.6,結帳交易 (交易別 50),50,157,12,Refund_Amount,退貨總金額
3.1.6,結帳交易 (交易別 50),50,169,3,Sale_Count,銷貨筆數
3.1.6,結帳交易 (交易別 50),50,172,3,Refund_Count,退貨筆數
3.1.6,結帳交易 (交易別 50),50,175,4,Host_Resp_Code,主機回應碼 (欄位 39)
3.1.6,結帳交易 (交易別 50),50,179,170,Filler,保留
3.1.6,結帳交易 (交易別 50),50,349,1,ESC_Status,電簽簽名狀態
3.1.6,結帳交易 (交易別 50),50,350,4,ESC_Response_Code,電簽主機回應碼
3.1.6,結帳交易 (交易別 50),50,354,247,Filler,保留
3.1.7,連動結帳交易 (交易別 51),51,1,2,Trans_Type,交易別
3.1.7,連動結帳交易 (交易別 51),51,3,2,Host_ID,銀行別
3.1.7,連動結帳交易 (交易別 51),51,5,74,Filler,保留
3.1.7,連動結帳交易 (交易別 51),51,79,4,TCB_ECR_Response_Code,收銀機通訊回應碼 (TCB)
3.1.7,連動結帳交易 (交易別 51),51,83,8,EDC_Terminal_ID,EDC 端末機代號
3.1.7,連動結帳交易 (交易別 51),51,91,1,TCB_SETTLE_ESC_Status,信用卡結帳電簽簽名狀態
3.1.7,連動結帳交易 (交易別 51),51,92,4,TCB_SETTLE_ESC_Response_Code,信用卡結帳電簽主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,96,1,FISC_SETTLE_ESC_Status,金融卡結帳電簽簽名狀態
3.1.7,連動結帳交易 (交易別 51),51,97,4,FISC_SETTLE_ESC_Response_Code,金融卡結帳電簽主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,101,1,NP_SETTLE_ESC_Status,全國性繳費結帳電簽簽名狀態
3.1.7,連動結帳交易 (交易別 51),51,102,4,NP_SETTLE_ESC_Response_Code,全國性繳費結帳電簽主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,106,1,AE_SETTLE_ESC_Status,美國運通結帳電簽簽名狀態
3.1.7,連動結帳交易 (交易別 51),51,107,4,AE_SETTLE_ESC_Response_Code,美國運通結帳電簽主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,111,34,Filler,保留
3.1.7,連動結帳交易 (交易別 51),51,145,12,TCB_Sale_Amount,信用卡銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,157,12,TCB_Refund_Amount,信用卡退貨總金額
3.1.7,連動結帳交易 (交易別 51),51,169,3,TCB_Sale_Count,信用卡銷貨筆數
3.1.7,連動結帳交易 (交易別 51),51,172,3,TCB_Refund_Count,信用卡退貨筆數
3.1.7,連動結帳交易 (交易別 51),51,175,4,TCB_Host_Resp_Code,信用卡主機回應碼
3.1.7,連動結帳交易 (交易別 51),51,179,4,FISC_ECR_Response_Code,收銀機通訊回應碼 (FISC)
3.1.7,連動結帳交易 (交易別 51),51,183,12,FISC_Sale_Amount,金融卡銷售總金額
3.1.7,連動結帳交易 (交易別 51),51,195,12,FISC_Refund_Amount,金融卡退貨總金額
3.1.7,連動結帳交易 (交易別 51),51,207,3,FISC_Sale_Count,金融卡銷貨筆數
